community,% in Poverty,% in Extreme Poverty,Child Poverty Rate,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Aged 0-4,% Aged 5-17,% Aged 18-24,% Aged 25-64,% Aged 65+,Total Pop.,Change in Pop. (2018 to 2019),Overall Unemp.,Unemp. 16-19 yr. olds,Unemp. 20-24 yr. olds,% no HS Diploma,% HS or GED,Some College,% Associates Deg.,% Bachelors Deg.,Forclosure,Homeownership Rate,Rent Burden,SNAP Enrollment Rate,% Cash Assist.,Uninsured Rate,Avg. Med. Household Income (2020 Dollars)
NORTH CENTER,4.3,1.7,1.7,51.0,49.0,6.0,2.6,12.0,74.7,9.5,17.2,4.1,61.6,7.5,36142.6,0.0,3.2,46.3,5.1,3.4,5.6,10.5,2.8,77.7,11.0,57.7,24.9,3.6,0.8,2.4,118412.0
NORTH LAWNDALE,36.2,20.0,-2.4,55.3,44.7,0.2,82.6,11.3,4.8,6.3,19.0,11.5,51.0,12.2,31304.1,0.0,17.2,48.6,27.8,20.4,32.1,25.6,8.0,13.8,32.0,24.8,64.3,45.7,5.0,11.1,36995.3
NORTH PARK,14.6,5.6,-1.0,53.8,46.2,26.3,2.2,18.7,48.8,8.2,13.3,10.0,50.5,18.1,18727.0,0.0,5.1,2.0,18.2,13.0,18.8,15.1,6.6,46.5,9.0,49.8,39.1,14.2,3.7,11.9,80296.9
NORWOOD PARK,6.9,3.2,2.5,51.9,48.1,4.3,0.7,15.1,77.3,6.5,15.0,5.3,53.8,19.4,38876.3,0.0,4.2,11.0,12.2,7.2,26.4,17.6,6.5,42.2,15.0,75.8,48.4,5.4,3.0,4.7,85848.1
OAKLAND,28.6,10.6,-3.5,56.5,43.5,1.6,86.7,5.8,4.4,9.6,21.5,7.3,51.0,10.6,6973.0,0.0,19.9,43.1,37.6,8.1,21.8,24.6,8.3,37.1,3.0,24.4,47.1,34.0,4.0,6.8,41528.1
OHARE,10.9,4.0,12.3,46.1,53.9,15.0,6.3,10.6,66.0,7.9,9.3,4.3,62.7,15.7,14445.6,0.1,3.9,1.0,15.3,9.1,20.7,23.6,5.6,41.1,6.0,38.7,40.3,5.8,0.6,18.3,72927.1
PORTAGE PARK,7.7,3.9,-1.1,51.5,48.5,5.9,1.6,42.5,47.0,5.6,15.0,9.0,57.1,13.2,63919.0,0.0,5.5,30.8,9.6,12.9,26.6,18.6,7.3,34.6,40.0,59.5,43.5,9.2,2.1,13.9,73160.3
PULLMAN,18.0,12.1,5.0,59.9,40.1,0.1,80.5,4.3,11.9,6.5,10.9,7.9,58.5,16.2,7179.1,0.0,15.8,63.9,24.0,10.8,22.8,27.8,8.3,30.3,17.0,50.0,44.3,24.8,2.2,8.1,40250.7
RIVERDALE,47.6,34.8,0.8,61.3,38.7,0.0,95.1,3.8,1.1,11.4,24.0,12.6,46.0,5.9,7421.4,0.0,29.7,52.4,38.1,13.9,30.5,42.7,6.3,6.7,5.0,8.8,43.0,61.6,7.8,10.2,36507.3
ROGERS PARK,21.5,9.3,0.0,51.1,48.9,5.4,27.0,18.9,44.3,6.1,11.2,13.9,59.5,9.4,55491.5,0.0,4.6,16.4,5.9,11.7,18.0,17.3,5.9,47.2,15.0,26.1,53.8,17.5,3.6,13.3,50401.5
ROSELAND,23.2,10.7,1.5,52.4,47.6,0.3,95.3,1.3,1.5,5.9,16.6,8.8,51.4,17.3,39752.7,0.0,18.9,52.5,37.0,13.8,25.6,30.7,8.4,21.4,89.0,52.9,58.3,33.9,5.2,11.8,44594.8
SOUTH CHICAGO,29.3,17.4,0.0,54.6,45.4,0.4,75.3,20.6,2.9,6.7,20.5,11.1,48.6,13.1,29922.8,0.0,16.1,59.2,34.8,17.6,31.1,23.2,10.2,17.9,50.0,40.2,51.7,36.9,4.0,10.8,39472.4
SOUTH DEERING,32.9,13.3,-2.3,56.5,43.5,0.0,63.5,31.1,5.1,4.1,21.3,9.8,47.0,17.8,15120.2,0.0,17.0,24.1,51.6,19.6,30.0,25.5,7.3,17.6,27.0,51.4,62.5,35.0,4.0,9.4,43636.3
SOUTH LAWNDALE,24.0,10.6,-2.7,42.4,57.6,0.4,12.8,80.9,5.5,6.2,17.3,12.9,53.0,10.6,70184.7,0.0,8.8,22.9,13.7,41.0,32.5,12.2,3.4,10.8,20.0,39.5,53.1,21.9,2.8,24.0,42946.0
SOUTH SHORE,29.9,14.9,0.4,55.5,44.5,0.2,93.0,2.6,2.9,7.2,15.3,7.6,55.2,14.7,50468.1,0.0,15.7,40.9,26.1,9.9,25.1,31.7,8.9,24.3,85.0,23.8,55.3,35.8,3.7,8.7,39855.6
UPTOWN,20.9,9.2,0.8,49.5,50.5,10.4,18.1,15.0,53.2,4.6,8.2,8.6,66.9,11.6,59453.0,0.0,3.3,10.8,3.0,9.8,12.5,15.4,4.7,57.7,15.0,31.6,46.4,15.4,3.9,10.4,67152.1
WASHINGTON HEIGHTS,20.0,9.8,0.4,56.3,43.7,0.2,95.4,1.5,1.7,4.9,15.9,9.3,50.6,19.2,26855.3,0.0,14.2,61.7,38.9,11.4,25.3,28.6,8.5,26.2,58.0,69.8,65.5,22.9,5.1,9.0,63022.1
WASHINGTON PARK,42.2,19.5,-4.9,55.5,44.5,0.0,91.7,2.2,1.8,7.4,22.4,9.1,51.5,9.6,10427.0,0.0,17.9,12.1,31.3,16.5,32.1,26.6,5.4,19.4,11.0,13.2,67.1,43.2,2.7,10.7,32084.3
WEST ELSDON,11.5,3.4,-4.1,50.5,49.5,2.8,0.7,81.7,14.7,6.5,21.0,10.4,49.6,12.5,18337.8,0.0,9.7,43.6,14.3,26.0,35.3,16.5,6.8,15.5,19.0,70.3,60.3,17.3,4.4,10.7,51279.8
WEST ENGLEWOOD,30.9,12.8,0.0,54.8,45.2,0.1,86.1,10.5,1.5,6.3,16.9,8.9,48.1,19.7,26334.7,0.0,24.4,49.8,39.0,19.7,42.2,19.8,7.7,10.7,40.0,45.0,65.1,45.5,7.8,11.4,29139.1
WEST GARFIELD PARK,37.0,19.7,0.5,49.2,50.8,0.0,92.4,3.5,2.8,7.4,18.8,10.2,51.4,12.3,16490.3,0.0,24.1,75.0,48.6,25.3,35.2,26.8,5.7,7.0,22.0,26.7,72.5,48.3,4.6,11.6,27427.7
WEST LAWN,17.4,5.4,0.3,48.0,52.0,0.2,2.5,85.1,11.9,7.8,22.6,9.8,49.2,10.5,31974.9,0.0,10.3,33.6,19.0,28.2,37.8,16.8,4.6,12.7,30.0,68.6,63.3,15.6,3.2,10.8,53104.9
WEST PULLMAN,22.4,10.6,-3.3,55.4,44.6,0.0,90.1,6.9,0.9,6.6,16.9,12.1,48.7,15.6,26143.7,0.0,20.7,48.9,37.0,14.1,30.0,31.0,7.9,17.0,58.0,62.7,59.4,32.1,3.3,11.3,44556.8
WEST RIDGE,17.0,6.8,0.4,50.4,49.6,21.0,11.6,19.7,42.1,8.3,18.3,7.4,53.2,12.8,78794.3,0.0,6.3,14.6,12.0,17.4,19.5,16.1,5.3,41.7,29.0,48.5,50.5,20.3,4.7,15.5,62005.4
WEST TOWN,8.8,4.8,-0.2,49.4,50.6,5.4,6.2,20.9,63.2,5.9,6.9,6.6,74.3,6.3,84541.5,0.0,3.4,18.5,5.4,5.6,9.3,9.2,4.0,71.9,23.0,41.2,29.3,7.0,1.8,5.2,106807.4
WOODLAWN,30.7,15.3,-0.6,55.8,44.2,3.3,82.6,3.0,7.9,6.2,15.5,13.5,52.7,12.2,24692.4,0.0,16.1,22.5,20.3,12.6,23.0,27.5,7.3,29.6,25.0,24.4,58.7,37.5,4.6,9.1,36889.6
